pcketID,srcIP,dstIP,srcPort,dstPort,ethSrc,ethDst,proto,startTime,endTime,hash1,hash2,totalAppPktCount,totalAppFrameLen,minAppPktLen,maxAppPktLen,Label
367,192.168.1.196,192.168.1.1,6373,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:00,9/22/2016 19:00,1821885148,-2099077080,2,518,30,488,Smart Things
371,192.168.1.196,129.250.35.250,6372,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:00,9/22/2016 19:00,-2052822110,1152495342,2,96,48,48,Smart Things
4258,192.168.1.196,192.168.1.1,6375,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:10,9/22/2016 19:10,-2119435098,-1413844726,2,124,30,94,Smart Things
4262,192.168.1.196,103.38.121.36,6374,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:10,9/22/2016 19:10,-1139350380,-81938032,2,96,48,48,Smart Things
8169,192.168.1.196,192.168.1.1,6377,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:20,9/22/2016 19:20,12073840,75772304,2,542,30,512,Smart Things
8173,192.168.1.196,103.38.121.36,6376,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:20,9/22/2016 19:20,-1301490850,730163206,2,96,48,48,Smart Things
12214,192.168.1.196,192.168.1.1,6379,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:30,9/22/2016 19:30,-1697429190,-1170381630,2,514,30,484,Smart Things
12218,192.168.1.196,95.213.132.254,6378,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:30,9/22/2016 19:30,1400399245,-736977651,2,96,48,48,Smart Things
15971,192.168.1.196,192.168.1.1,6381,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:40,9/22/2016 19:40,-309629369,1496036386,2,514,30,484,Smart Things
15975,192.168.1.196,110.142.45.122,6380,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:40,9/22/2016 19:40,2091090214,1788772201,2,96,48,48,Smart Things
19753,192.168.1.196,192.168.1.1,6383,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:50,9/22/2016 19:50,1821879569,-1309246226,2,542,30,512,Smart Things
19757,192.168.1.196,204.2.134.163,6382,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 19:50,9/22/2016 19:50,1620078517,1213888726,2,96,48,48,Smart Things
23543,192.168.1.196,192.168.1.1,6385,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:00,9/22/2016 20:00,-2119440677,-620264346,2,514,30,484,Smart Things
23547,192.168.1.196,130.102.128.23,6384,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:00,9/22/2016 20:00,-283601172,-480744871,2,96,48,48,Smart Things
27653,192.168.1.196,192.168.1.1,6387,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:10,9/22/2016 20:10,12068261,869492208,2,514,30,484,Smart Things
27657,192.168.1.196,54.252.165.245,6386,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:10,9/22/2016 20:10,-442531366,2052516401,2,96,48,48,Smart Things
31763,192.168.1.196,192.168.1.1,6389,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:20,9/22/2016 20:20,-1697434769,704928519,2,530,30,500,Smart Things
31768,192.168.1.196,129.250.35.250,6388,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:20,9/22/2016 20:20,-415544651,-342355411,2,96,48,48,Smart Things
35721,192.168.1.196,192.168.1.1,6391,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:30,9/22/2016 20:30,-309626232,719189151,2,530,30,500,Smart Things
35725,192.168.1.196,85.91.1.164,6390,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:30,9/22/2016 20:30,-1701127649,-117838630,2,96,48,48,Smart Things
39753,192.168.1.196,192.168.1.1,6393,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:40,9/22/2016 20:40,1821882706,-2085810197,2,514,30,484,Smart Things
39757,192.168.1.196,27.124.125.251,6392,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:40,9/22/2016 20:40,-207913836,-52127177,2,96,48,48,Smart Things
43789,192.168.1.196,192.168.1.1,6395,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:50,9/22/2016 20:50,-2119437540,-1400650109,2,514,30,484,Smart Things
43793,192.168.1.196,202.60.94.11,6394,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 20:50,9/22/2016 20:50,107188951,172811920,2,96,48,48,Smart Things
47594,192.168.1.196,192.168.1.1,6397,53,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:00,9/22/2016 21:00,12071398,90079281,2,530,30,500,Smart Things
47598,192.168.1.196,89.163.176.82,6396,123,d0:52:a8:00:67:5e,14:cc:20:51:33:ea,17,9/22/2016 21:00,9/22/2016 21:00,-425315203,-450191772,1,48,48,48,Smart Things
